""
37AACCK8056H1ZB,Kanti Brothers Oils Pvt Ltd. Kurnool
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-01,20-21/LLF/106,52418,GSTR2B Input,01/11/2020,20-21/LLF/106,55976
Books,2020-11-01,20-21/CAM/116,17658,GSTR2B Input,01/11/2020,20-21/CAM/116,17658
37ACIFS7105A1ZD,Sree Vijaya Krishna Hospitality Services Vizag
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-02,3,187384,,,,
33AAKCA4972C1ZU,Artex Trends (India) Pvt Ltd CHN
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-06,CAM/20-21/0929,35069,GSTR2B Input,02/11/2020,CAM/20-21/0929,35069
Books,2020-11-18,UTL/20-21/0703,13067,GSTR2B Input,09/11/2020,UTL/20-21/0703,13067
,,,,GSTR2B Input,03/10/2020,CAM/20-21/0721,22349
,,,,GSTR2B Input,19/10/2020,CAM/20-21/0887,12720
,,,,GSTR2B Input,19/10/2020,CAM/20-21/0888,12720
,,,,GSTR2B Input,19/10/2020,Rent/20-21/0382,38153
,,,,GSTR2B Input,19/10/2020,Rent/20-21/0383,38153
,,,,GSTR2B Input,07/10/2020,UTL/20-21/0611,12280
37ALHPR9278B2ZM,Laxmi Ads Palakol
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-06,4,36582,,,,
37ATDPM4896L1ZX,Balu Ads.Kakinada
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-06,44,42210,,,,
37AADCS1196B1ZJ,82 East Mall & Multiplex (SRMT Mall) Kakinada
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-06,CNI2021-000717,-12305,,,,
Books,2020-11-19,CNI2021-000764,-6289,,,,
Books,2020-11-19,CNI2021-000765,-3970,,,,
Books,2020-11-19,CNI2021-000766,-8203,,,,
Books,2020-11-19,CNI2021-000767,-8203,,,,
Books,2020-11-19,CNI2021-000768,-8203,,,,
Books,2020-11-30,REN2021-00516,76820,GSTR2B Input,26/11/2020,REN2021-00516,82034
Books,2020-11-30,CAM2021-0308,25636,GSTR2B Input,26/11/2020,CAM2021-0308,25636
Books,2020-11-30,CNI2021-000787,-20508,,,,
37AACCP4479P2ZL,EZone Security Solutions Vja
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-07,MMC-VIJ-4981,1350,,,,
Books,2020-11-07,MMC-VIJ-4967,1250,,,,
,,,,GSTR2B Input,03/10/2020,MMC-VIJ-4288,1350
,,,,GSTR2B Input,05/10/2020,VIJ-328,12567.7
37AEVPS1427A1ZE,Swastik Paper Products Vijayawada
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-07,094,3000,GSTR2B Input,02/10/2020,094,3000
,,,,GSTR2B Input,20/11/2020,135,3500
24AAJCP4560C1ZN,Panam Texfab Pvt Ltd Ahmedabad
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-07,235/2020-21,2733,,,,
Books,2020-11-07,326/2020-21,3634,,,,
Books,2020-11-07,343/2020-21,5225,,,,
Books,2020-11-28,304/2020-21,2710.5,,,,
Books,2020-11-30,4131,-68891,,,,
37AZTPS7321N1ZD,Hari Sign Systems.Vijayawada
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-07,44,11490,,,,
Books,2020-11-07,45,8207,,,,
Books,2020-11-07,46,5159,,,,
Books,2020-11-07,47,12091,,,,
Books,2020-11-07,48,28374,,,,
Books,2020-11-07,49,2323,,,,
Books,2020-11-07,51,157414,,,,
Books,2020-11-07,54,6965,,,,
Books,2020-11-07,55,8061,,,,
Books,2020-11-07,58,20959,,,,
Books,2020-11-07,59,14730,,,,
Books,2020-11-07,63,12254,,,,
Books,2020-11-07,66,34737,,,,
Books,2020-11-07,67,45464,,,,
Books,2020-11-07,68,7635,,,,
29AAACG9344A1zr,Ginni Systems Ltd. Bangalore
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-07,SKN/2020/0261,99304,,,,
27AADCN2307D1ZY,Niti Fashion Pvt. Ltd Mumbai (Purchase A/c)
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-07,76,-217090,,,,
Books,2020-11-11,51,-12936,,,,
Books,2020-11-12,107/20-21,890504.12,,,,
Books,2020-11-12,132/20-21,11550.34,GSTR2B Input,03/11/2020,132/20-21,11559
Books,2020-11-12,132/20-21,-3150,GSTR2B Input,03/11/2020,132/20-21,11559
Books,2020-11-12,130/20-21,413277.04,,,,
Books,2020-11-12,131/20-21,1492483.64,GSTR2B Input,02/11/2020,131/20-21,1493603
Books,2020-11-13,134/20-21,1054311.27,GSTR2B Input,04/11/2020,134/20-21,1055102
Books,2020-11-19,133/20-21,868649.51,GSTR2B Input,04/11/2020,133/20-21,869301
Books,2020-11-19,135/20-21,875856.11,GSTR2B Input,05/11/2020,135/20-21,876513
Books,2020-11-19,136/20-21,1149604,GSTR2B Input,07/11/2020,136/20-21,1149604
Books,2020-11-19,137/20-21,434043,GSTR2B Input,07/11/2020,137/20-21,434043
Books,2020-11-19,138/20-21,874391,GSTR2B Input,09/11/2020,138/20-21,874391
Books,2020-11-19,139/20-21,997235,GSTR2B Input,09/11/2020,139/20-21,997235
Books,2020-11-20,142/20-21,47165,GSTR2B Input,12/11/2020,142/20-21,47165
Books,2020-11-20,141/20-21,602758,GSTR2B Input,12/11/2020,141/20-21,602758
Books,2020-11-23,143/20-21,70639,GSTR2B Input,12/11/2020,143/20-21,70639
Books,2020-11-23,149/20-21,9660,GSTR2B Input,19/11/2020,149/20-21,9660
Books,2020-11-23,140/20-21,1154630,GSTR2B Input,12/11/2020,140/20-21,1154630
Books,2020-11-23,147/20-21,173610,GSTR2B Input,19/11/2020,147/20-21,173610
Books,2020-11-23,148/20-21,761846,GSTR2B Input,19/11/2020,148/20-21,761846
Books,2020-11-24,145/20-21,577336,GSTR2B Input,18/11/2020,145/20-21,577336
Books,2020-11-24,150/20-21,927338,GSTR2B Input,20/11/2020,150/20-21,927338
Books,2020-11-25,098/20-21,-2196,,,,
Books,2020-11-30,166,25960,,,,
Books,2020-11-30,153/20-21,801413,GSTR2B Input,23/11/2020,153/20-21,801413
Books,2020-11-30,160/20-21,1583481,GSTR2B Input,27/11/2020,160/20-21,1583481
Books,2020-11-30,162/20-21,253355,GSTR2B Input,28/11/2020,162/20-21,253355
Books,2020-11-30,146/20-21,444490,GSTR2B Input,19/11/2020,146/20-21,444490
Books,2020-11-30,151/20-21,1195488,GSTR2B Input,21/11/2020,151/20-21,1195488
Books,2020-11-30,156/20-21,364641,GSTR2B Input,24/11/2020,156/20-21,364641
Books,2020-11-30,152/20-21,866492,GSTR2B Input,23/11/2020,152/20-21,866492
Books,2020-11-30,154/20-21,1104773,GSTR2B Input,23/11/2020,154/20-21,1104773
Books,2020-11-30,158/20-21,1017960,GSTR2B Input,26/11/2020,158/20-21,1017960
,,,,GSTR2B Input,26/11/2020,157/20-21,803509
,,,,GSTR2B Input,26/11/2020,159/20-21,638215
,,,,GSTR2B Input,28/11/2020,163/20-21,7350
,,,,GSTR2B Input,30/11/2020,164/20-21,1818836
,,,,GSTR2B Input,30/11/2020,165/20-21,12600
,,,,GSTR2B Input,30/11/2020,166/20-21,25960
37ABHFM2183J1ZZ,Marutiram Print-Pack Vijayawada
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-07,C/334,58184,GSTR2B Input,02/11/2020,C/334,58184
Books,2020-11-07,C/338,57243,GSTR2B Input,03/11/2020,C/338,57243
Books,2020-11-07,C/343,113905,GSTR2B Input,04/11/2020,C/343,113905
Books,2020-11-12,C/348,139356,GSTR2B Input,05/11/2020,C/348,139356
Books,2020-11-28,C/394,70000,GSTR2B Input,28/11/2020,C/394,70000
,,,,GSTR2B Input,25/11/2020,C/391,59161
27AAOHM7272G1ZQ,Vinod & Sons Mumbai
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-07,205,21004,,,,
Books,2020-11-07,208,15104,,,,
Books,2020-11-12,214,30238,,,,
Books,2020-11-19,220,50352,,,,
Books,2020-11-19,079,-40356,,,,
Books,2020-11-19,089,-26904,,,,
Books,2020-11-23,236,19559,,,,
Books,2020-11-30,236,19559,,,,
Books,2020-11-30,236,-19559,,,,
Books,2020-11-25,206,21004,,,,
Books,2020-11-25,207,21972,,,,
Books,2020-11-25,209,15104,,,,
Books,2020-11-25,215,20945,,,,
Books,2020-11-25,217,30238,,,,
Books,2020-11-25,218,42879,,,,
Books,2020-11-25,219,12567,,,,
Books,2020-11-25,221,40238,,,,
Books,2020-11-25,222,15511,,,,
Books,2020-11-25,226,15122,,,,
Books,2020-11-30,216,9756,,,,
Books,2020-11-30,237,40238,,,,
Books,2020-11-30,238,31781,,,,
Books,2020-11-30,239,43660,,,,
Books,2020-11-30,240,19635,,,,
Books,2020-11-30,242,18131,,,,
36ABSPG5016H1ZM,Sri Krishna Modular Furniture System - Sec'bad
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-07,83,124336,GSTR2B Input,04/11/2020,83,124336.6
Books,2020-11-07,77,124336,GSTR2B Input,26/10/2020,77,124336.6
Books,2020-11-09,80,17700,GSTR2B Input,28/10/2020,80,17700.0
Books,2020-11-09,9,-27552,,,,
Books,2020-11-09,11,-4720,,,,
Books,2020-11-09,10,-22012,,,,
Books,2020-11-09,12,-4720,,,,
Books,2020-11-28,88,103353,GSTR2B Input,16/11/2020,88,103353.25
Books,2020-11-28,95,200891,GSTR2B Input,26/11/2020,95,200890.58
Books,2020-11-30,13,-22012,,,,
Books,2020-11-30,14,-22012,,,,
Books,2020-11-30,15,-17632,,,,
Books,2020-11-30,16,-39428,,,,
,,,,GSTR2B Input,08/10/2020,66,167784.2
,,,,GSTR2B Input,15/10/2020,71,121976.6
,,,,GSTR2B Input,02/09/2020,038,126617.54
,,,,GSTR2B Input,07/09/2020,040,181614.98
,,,,GSTR2B Input,07/09/2020,041,117256.6
06AAECI6347M1Z7,Ideax Labels And Accessories Pvt Ltd.Sonipat
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-09,IDX-379,5723,,,,
Books,2020-11-10,IDX-407,2625,,,,
37AFCPG4298M1ZZ,Gelli's Jute Firm Vijayawada
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-09,386,1381,,,,
Books,2020-11-28,433,1929,,,,
,,,,GSTR2B Input,01/10/2020,303,1988.3
,,,,GSTR2B Input,16/10/2020,329,849.6
,,,,GSTR2B Input,27/10/2020,357,1203.6
37AKQPD3397P1Z9,New Sigma Scientific Products - Vijayawada
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-09,499,3776,,,,
Books,2020-11-28,535,3492,,,,
,,,,GSTR2B Input,03/10/2020,444,3776
,,,,GSTR2B Input,12/10/2020,460,3776
,,,,GSTR2B Input,23/10/2020,480,1687
27AACPN3567H1ZK,Mehru Enterprises
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-09,ME/5431,337744,,,,
27AADCD8017C1ZZ,Disha Clothings Pvt Ltd Mumbai
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-09,DCPL/0773/20-21,195031,,,,
Books,2020-11-09,DCPL/0774/20-21,318801,,,,
27AAACB1640C1ZD,Bhagwan Enterprise Textiles Pvt.Ltd Mumbai
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-09,20-21/2/SL-1514,135554,GSTR2B Input,07/11/2020,20-21/2/SL-1514,135554
Books,2020-11-09,20-21/2/SL-1515,200721,GSTR2B Input,07/11/2020,20-21/2/SL-1515,200721
